ID_partido;#;EQUIPO;JORNADA;RESULTADO;RIVAL;RESULTADO_RIVAL;LOCAL;TITULAR;VICTORIA;MIN;SEG;PTS;TCA;TCI;TCF;T2A;T2I;T2F;T3A;T3I;T3F;TLA;TLI;TLF;RO;RD;RT;ASI;PER;REC;TAP;TAPR;FP;FPR;MAT;+/-;VAL;MIN_Eq;TCA_Eq;TCI_Eq;TCF_Eq;T2A_Eq;T2I_Eq;T2F_Eq;T3A_Eq;T3I_Eq;T3F_Eq;TLA_Eq;TLI_Eq;TLF_Eq;RO_Eq;RD_Eq;RT_Eq;ASI_Eq;PER_Eq;REC_Eq;TAP_Eq;TAPR_Eq;FP_Eq;FPR_Eq;MAT_Eq;VAL_Eq;POS_Eq;POS_Rival;PACE;ORtg;DRtg;NRtg;%TE_Eq;%TR_Eq;%ASI_Eq;%PER_Eq;%RO_Eq;%RD_Eq;%RT_Eq;RTL_Eq;RT3I_Eq;%USO;%TR;%TE;%ASI;%PER;%RO;%RD;%RT;%REC;%TAP;RTL;RT3I;PPT
3_UNI_J3;3;UNI;3;77;BAR;83;True;True;False;20,116666666666667;1207;8;4;8;4;4;5;1;0;3;3;0;0;0;2;1;3;0;1;1;0;0;3;0;1;-4;4;80,0;28;73;45;23;40;17;5;33;28;16;20;4;16;24;40;11;12;11;1;2;29;20;2;68;77,8;76,52;38,58;98,97172236503856;108,46837428123366;-9,496651916195106;0,4178082191780822;0,47066014669926654;39,285714285714285;15,424164524421595;35,55555555555556;75,0;51,94805194805195;0,273972602739726;0,4520547945205479;46,0041361126079;0,5;0,5;0,0;11,11111111111111;17,67467550400442;12,427506213753107;15,494033721042834;5,197075259279919;0,0;0,0;0,375;1,0
4_UNI_J3;4;UNI;3;77;BAR;83;True;False;False;19,75;1185;3;1;8;7;1;4;3;0;4;4;1;1;0;2;1;3;2;0;2;0;1;4;1;0;-12;-1;80,0;28;73;45;23;40;17;5;33;28;16;20;4;16;24;40;11;12;11;1;2;29;20;2;68;77,8;76,52;38,58;98,97172236503856;108,46837428123366;-9,496651916195106;0,4178082191780822;0,47066014669926654;39,285714285714285;15,424164524421595;35,55555555555556;75,0;51,94805194805195;0,273972602739726;0,4520547945205479;43,94259867885848;0,17772511848341233;0,125;33,82663847780127;0,0;18,0028129395218;12,658227848101266;15,781686667762617;10,587122089368544;0,0;0,125;0,5;0,375
7_UNI_J3;7;UNI;3;77;BAR;83;True;False;False;12,583333333333334;755;6;2;4;2;1;1;0;1;3;2;1;2;1;1;2;3;0;0;0;0;0;2;1;0;1;5;80,0;28;73;45;23;40;17;5;33;28;16;20;4;16;24;40;11;12;11;1;2;29;20;2;68;77,8;76,52;38,58;98,97172236503856;108,46837428123366;-9,496651916195106;0,4178082191780822;0,47066014669926654;39,285714285714285;15,424164524421595;35,55555555555556;75,0;51,94805194805195;0,273972602739726;0,4520547945205479;39,878104836650266;0,6147540983606558;0,625;0,0;0,0;14,1280353200883;39,735099337748345;24,769932054700266;0,0;0,0;0,5;0,75;1,5
9_UNI_J3;9;UNI;3;77;BAR;83;True;False;False;18,616666666666667;1117;2;0;2;2;0;1;1;0;1;1;2;2;0;2;0;2;2;1;2;0;0;0;2;0;-4;7;80,0;28;73;45;23;40;17;5;33;28;16;20;4;16;24;40;11;12;11;1;2;29;20;2;68;77,8;76,52;38,58;98,97172236503856;108,46837428123366;-9,496651916195106;0,4178082191780822;0,47066014669926654;39,285714285714285;15,424164524421595;35,55555555555556;75,0;51,94805194805195;0,273972602739726;0,4520547945205479;21,43088929445149;0,3472222222222222;0,0;30,694462207443404;25,77319587628866;19,098776484631454;0,0;11,161622620888512;11,231638026769675;0,0;1,0;0,5;1,0
14_UNI_J3;14;UNI;3;77;BAR;83;True;False;False;14,666666666666666;880;11;4;10;6;4;7;3;0;3;3;3;4;1;0;2;2;0;2;0;0;0;1;2;0;4;5;80,0;28;73;45;23;40;17;5;33;28;16;20;4;16;24;40;11;12;11;1;2;29;20;2;68;77,8;76,52;38,58;98,97172236503856;108,46837428123366;-9,496651916195106;0,4178082191780822;0,47066014669926654;39,285714285714285;15,424164524421595;35,55555555555556;75,0;51,94805194805195;0,273972602739726;0,4520547945205479;96,47113811638233;0,467687074829932;0,4;0,0;14,534883720930234;0,0;34,09090909090909;14,167650531286895;0,0;0,0;0,4;0,3;1,1
19_UNI_J3;19;UNI;3;77;BAR;83;True;False;False;11,0;660;4;2;5;3;2;2;0;0;3;3;0;0;0;2;3;5;1;0;1;0;0;4;0;0;7;4;80,0;28;73;45;23;40;17;5;33;28;16;20;4;16;24;40;11;12;11;1;2;29;20;2;68;77,8;76,52;38,58;98,97172236503856;108,46837428123366;-9,496651916195106;0,4178082191780822;0,47066014669926654;39,285714285714285;15,424164524421595;35,55555555555556;75,0;51,94805194805195;0,273972602739726;0,4520547945205479;46,73989249824726;0,4;0,4;54,05405405405404;0,0;32,323232323232325;68,18181818181819;47,22550177095631;9,504348239319489;0,0;0,0;0,6;0,8
27_UNI_J3;27;UNI;3;77;BAR;83;True;True;False;12,833333333333334;770;2;1;7;6;1;3;2;0;4;4;0;0;0;0;1;1;1;1;1;0;1;3;2;1;-1;-4;80,0;28;73;45;23;40;17;5;33;28;16;20;4;16;24;40;11;12;11;1;2;29;20;2;68;77,8;76,52;38,58;98,97172236503856;108,46837428123366;-9,496651916195106;0,4178082191780822;0,47066014669926654;39,285714285714285;15,424164524421595;35,55555555555556;75,0;51,94805194805195;0,273972602739726;0,4520547945205479;64,10042399759622;0,14285714285714285;0,14285714285714285;28,63961813842482;12,5;0,0;19,48051948051948;8,09580030359251;8,14658420513099;0,0;0,0;0,5714285714285714;0,2857142857142857
33_UNI_J3;33;UNI;3;77;BAR;83;True;False;False;16,533333333333335;992;6;2;4;2;0;1;1;2;3;1;0;0;0;0;2;2;1;0;0;1;0;2;1;0;0;7;80,0;28;73;45;23;40;17;5;33;28;16;20;4;16;24;40;11;12;11;1;2;29;20;2;68;77,8;76,52;38,58;98,97172236503856;108,46837428123366;-9,496651916195106;0,4178082191780822;0,47066014669926654;39,285714285714285;15,424164524421595;35,55555555555556;75,0;51,94805194805195;0,273972602739726;0,4520547945205479;24,877684716809018;0,75;0,75;26,40845070422535;0,0;0,0;30,241935483870964;12,568077084206115;0,0;37,22084367245657;0,0;0,75;1,5
45_UNI_J3;45;UNI;3;77;BAR;83;True;False;False;23,666666666666668;1420;11;5;7;2;4;5;1;1;2;1;0;0;0;2;4;6;1;2;0;0;0;4;0;0;6;10;80,0;28;73;45;23;40;17;5;33;28;16;20;4;16;24;40;11;12;11;1;2;29;20;2;68;77,8;76,52;38,58;98,97172236503856;108,46837428123366;-9,496651916195106;0,4178082191780822;0,47066014669926654;39,285714285714285;15,424164524421595;35,55555555555556;75,0;51,94805194805195;0,273972602739726;0,4520547945205479;39,103515695716716;0,7857142857142857;0,7857142857142857;30,456852791878173;22,22222222222222;15,023474178403756;42,25352112676056;26,339857325772815;0,0;0,0;0,0;0,2857142857142857;1,5714285714285714
55_UNI_J3;55;UNI;3;77;BAR;83;True;True;False;21,433333333333334;1286;11;3;10;7;2;4;2;1;6;5;4;5;1;2;3;5;3;2;3;0;0;4;7;0;-2;15;80,0;28;73;45;23;40;17;5;33;28;16;20;4;16;24;40;11;12;11;1;2;29;20;2;68;77,8;76,52;38,58;98,97172236503856;108,46837428123366;-9,496651916195106;0,4178082191780822;0,47066014669926654;39,285714285714285;15,424164524421595;35,55555555555556;75,0;51,94805194805195;0,273972602739726;0,4520547945205479;68,12539230071124;0,45081967213114754;0,35;66,64198445020362;14,084507042253522;16,588906168999483;34,99222395023328;24,237038233927812;14,63344441201601;0,0;0,5;0,6;1,1
UNI_UNI_J3;UNI;UNI;3;77;BAR;83;True;False;False;200,0;12000;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;2;0;0;0;1;0;0;0;-1;80,0;28;73;45;23;40;17;5;33;28;16;20;4;16;24;40;11;12;11;1;2;29;20;2;68;77,8;76,52;38,58;98,97172236503856;108,46837428123366;-9,496651916195106;0,4178082191780822;0,47066014669926654;39,285714285714285;15,424164524421595;35,55555555555556;75,0;51,94805194805195;0,273972602739726;0,4520547945205479;1,0282776349614395;0,0;0,0;0,0;100,0;0,8888888888888888;1,25;1,0389610389610389;0,0;0,0;0,0;0,0;0,0
0_BAR_J3;0;BAR;3;83;UNI;77;False;True;True;28,966666666666665;1738;17;5;10;5;4;6;2;1;4;3;6;8;2;1;4;5;3;2;2;0;1;3;7;0;19;21;80,0;25;55;30;18;34;16;7;21;14;26;33;7;8;29;37;12;15;9;2;1;21;28;3;97;76,52;77,8;38,58;108,46837428123366;98,97172236503856;9,496651916195106;0,5181818181818182;0,5969505178365938;48,0;19,602718243596446;25,0;64,44444444444444;48,05194805194805;0,6;0,38181818181818183;56,015500509204486;0,628698224852071;0,55;74,03598971722367;12,88659793814433;8,630609896432683;24,54929037207518;17,933734849730246;7,099730506062874;0,0;0,8;0,4;1,7
2_BAR_J3;2;BAR;3;83;UNI;77;False;True;True;24,033333333333335;1442;11;4;6;2;1;1;0;3;5;2;0;0;0;0;2;2;3;2;1;0;0;3;1;0;18;11;80,0;25;55;30;18;34;16;7;21;14;26;33;7;8;29;37;12;15;9;2;1;21;28;3;97;76,52;77,8;38,58;108,46837428123366;98,97172236503856;9,496651916195106;0,5181818181818182;0,5969505178365938;48,0;19,602718243596446;25,0;64,44444444444444;48,05194805194805;0,6;0,38181818181818183;34,80094223551102;0,9166666666666666;0,9166666666666666;85,45994065281899;25,0;0,0;14,794267221451687;8,646000324225012;4,278547718286156;0,0;0,0;0,8333333333333334;1,8333333333333333
3_BAR_J3;3;BAR;3;83;UNI;77;False;False;True;16,416666666666668;985;4;1;1;0;1;1;0;0;0;0;2;2;0;1;2;3;0;2;1;0;0;3;1;0;-11;4;80,0;25;55;30;18;34;16;7;21;14;26;33;7;8;29;37;12;15;9;2;1;21;28;3;97;76,52;77,8;38,58;108,46837428123366;98,97172236503856;9,496651916195106;0,5181818181818182;0,5969505178365938;48,0;19,602718243596446;25,0;64,44444444444444;48,05194805194805;0,6;0,38181818181818183;24,70937560532928;1,0638297872340425;1,0;0,0;51,54639175257732;15,228426395939085;21,658206429780034;18,9860900520799;6,2636201114402414;0,0;2,0;0,0;4,0
6_BAR_J3;6;BAR;3;83;UNI;77;False;False;True;17,4;1044;6;2;5;3;2;5;3;0;0;0;2;2;0;0;3;3;1;0;0;0;0;1;1;0;-4;7;80,0;25;55;30;18;34;16;7;21;14;26;33;7;8;29;37;12;15;9;2;1;21;28;3;97;76,52;77,8;38,58;108,46837428123366;98,97172236503856;9,496651916195106;0,5181818181818182;0,5969505178365938;48,0;19,602718243596446;25,0;64,44444444444444;48,05194805194805;0,6;0,38181818181818183;35,329956558573826;0,5102040816326531;0,4;29,090909090909097;0,0;0,0;30,651340996168585;17,913121361397224;0,0;0,0;0,4;0,0;1,2
8_BAR_J3;8;BAR;3;83;UNI;77;False;False;True;6,433333333333334;386;0;0;2;2;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;-9;-4;80,0;25;55;30;18;34;16;7;21;14;26;33;7;8;29;37;12;15;9;2;1;21;28;3;97;76,52;77,8;38,58;108,46837428123366;98,97172236503856;9,496651916195106;0,5181818181818182;0,5969505178365938;48,0;19,602718243596446;25,0;64,44444444444444;48,05194805194805;0,6;0,38181818181818183;48,75287438821914;0,0;0,0;0,0;33,333333333333336;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,0
